School,Public,Location,Earn,SAT,Price,need_fraction
Baylor University,0,"Waco, TX",48000,1230,56100,0.55
Calvin College,NA,"Grand Rapids, MI",44000,1180,44300,0.61
SUNY College of Environmental Science and Forestry,1,"Syracuse, NY",45300,1160,25800,0.65
Albany State University,1,"Albany, GA",35300,890,19800,0.78
Johns Hopkins University,NA,"Baltimore, MD",60300,NA,66100,0.43
Bryn Mawr College,0,"Bryn Mawr, PA",41000,1340,64400,0.52
Creighton University,0,"Omaha, NE",46200,1180,51300,0.53
Coe College,0,"Cedar Rapids, IA",45300,1180,51200,0.84
Seton Hill University,0,"Greensburg, PA",37900,1030,47300,0.84
University of Wisconsin-Oshkosh,1,"Oshkosh, WI",43700,1070,18600,0.36
Beloit College,0,"Beloit, WI",37900,1230,54400,0.68
SUNY College of Technology at Alfred,1,"Alfred, NY",43300,1090,24900,NA
University of Wisconsin-Eau Claire,1,"Eau Claire, WI",45600,1120,19800,0.43
South Dakota School of Mines and Technology,1,"Rapid City, SD",63600,1180,23100,0.37
Edgewood College,0,"Madison, WI",47600,1150,39800,0.75
Plymouth State University,1,"Plymouth, NH",41000,970,27900,0.41
Amherst College,1,"Amherst, MA",53400,1440,66600,0.58
Mercer University,0,"Macon, GA",47700,1180,50400,0.42
Whittier College,0,"Whittier, CA",40500,NA,58400,0.68
Eastern Mennonite University,0,"Harrisonburg, VA",37800,1000,45400,0.39
University of Puget Sound,0,"Tacoma, WA",45600,1230,60200,0.55
Indiana University-Bloomington,1,"Bloomington, IN",46600,1180,25400,0.35
California State University-San Marcos,1,"San Marcos, CA",43800,NA,25000,0.66
Ramapo College of New Jersey,1,"Mahwah, NJ",42100,1100,30600,0.3
Grand View University,0,"Des Moines, IA",39000,860,36200,0.75
Saint Vincent College,0,"Latrobe, PA",45200,1030,46100,0.47
University of San Diego,0,"San Diego, CA",50800,1220,62100,0.53
The Evergreen State College,1,"Olympia, WA",40100,NA,23700,0.55
University of Mount Union,0,"Alliance, OH",39900,1050,41500,0.78
Sacred Heart University,0,"Fairfield, CT",50000,1100,56750,0.78
Lewis & Clark College,0,"Portland, OR",42100,1280,60000,0.59
Lipscomb University,0,"Nashville, TN",40700,NA,43900,0.22
